name,links,cost,collections,cuisines,timings
owm nom nom,https://www.zomato.com/hyderabad/owm-nom-nom-gachibowli,900,,"Chinese, Biryani, Andhra, North Indian",12Noon to 11:30PM (Mon-Sun)
ulavacharu,https://www.zomato.com/hyderabad/ulavacharu-gachibowli,"1,400","Function Venues, Regional Favorites","Andhra, North Indian, Chinese",12 Noon to 11:30 PM
shanghai chef 2,https://www.zomato.com/hyderabad/shanghai-chef-2-gachibowli,800,Pan-Asian Delicacies,"Chinese, Thai, Indonesian, Asian",12 Noon to 11 PM
udipi's upahar,https://www.zomato.com/hyderabad/udipis-upahar-gachibowli,500,,"South Indian, North Indian, Chinese",6 AM to 10:30 PM
mathura vilas,https://www.zomato.com/hyderabad/mathura-vilas-gachibowli,500,"Veggie Friendly, Terrific Thalis","South Indian, North Indian, Chinese","11:30 AM to 3:30 PM, 6:45 PM to 11:30 PM"
gal punjab di,https://www.zomato.com/hyderabad/gal-punjab-di-gachibowli,800,,"North Indian, Continental","11:55 AM to 4 PM, 7 PM to 11:15 PM"
hitech bawarchi food zone,https://www.zomato.com/hyderabad/hitech-bawarchi-food-zone-gachibowli,500,,"Biryani, North Indian, Chinese",12 Noon to 11 PM
biryanis and more,https://www.zomato.com/hyderabad/biryanis-and-more-gachibowli,500,,"North Indian, Biryani, Chinese",11 AM to 11 PM
diners pavilion,https://www.zomato.com/hyderabad/diners-pavilion-gachibowli,"1,200","Great Buffets, Live Sports Screenings","Chinese, Continental, Italian","12noon to 4:30pm, 6:30pm to 11:30pm (Mon, Tue, Wed, Fri, Sat), Closed (Thu),12noon to 12midnight (Sun)"
asian meal box,https://www.zomato.com/hyderabad/asian-meal-box-gachibowli,200,,Asian,"12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)"
cafe eclat,https://www.zomato.com/hyderabad/cafe-eclat-gachibowli,700,Sneak Peek Hyderabad,"Cafe, Bakery",8 AM to 11:30 PM
feast - sheraton hyderabad hotel,https://www.zomato.com/hyderabad/feast-sheraton-hyderabad-hotel-gachibowli,"2,500","Sunday Brunches, Great Breakfasts, Function Venues, Ramzan Mubarak","Modern Indian, Asian, Continental, Italian","6:30am to 10:30am, 12:30pm to 3pm, 7pm to 11pm (Mon),6:30am to 10:30am, 12:30pm to 3pm, 7:30pm to 11pm (Tue-Sat),6:30am to 10:30am, 12:30pm to 3:30pm, 7pm to 11pm (Sun)"
being hungry,https://www.zomato.com/hyderabad/being-hungry-gachibowli,450,,"North Indian, Chinese","12 Noon to 3 PM, 7 PM to 11:30 PM"
tempteys,https://www.zomato.com/hyderabad/tempteys-gachibowli,350,Best Milkshakes,"Desserts, Beverages",11:30 AM to 1 AM
ks bakers,https://www.zomato.com/hyderabad/ks-bakers-gachibowli,200,,"Bakery, Desserts, Fast Food",9 AM to 10 PM
pourhouse7,https://www.zomato.com/hyderabad/pourhouse7-gachibowli,"1,200","Happy Hours, Top Drinking Destinations, Corporate Favorites","North Indian, Continental, Chinese, Italian","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)"
prism club & kitchen,https://www.zomato.com/hyderabad/prism-club-kitchen-gachibowli,"1,200","Sneak Peek Hyderabad, Best Bars & Pubs, Gigs and Events","Kebab, Continental, Italian, North Indian",5pm to 12midnight (Mon-Sun)
shree santosh dhaba family restaurant,https://www.zomato.com/hyderabad/shree-santosh-dhaba-family-restaurant-gachibowli,500,,"North Indian, Chinese, Fast Food",11 AM to 11:30 PM
dine o china,https://www.zomato.com/hyderabad/dine-o-china-gachibowli,850,,"Chinese, Asian, Momos",11:30AM to 11PM (Mon-Sun)
hyderabad chefs,https://www.zomato.com/hyderabad/hyderabad-chefs-gachibowli,600,,"North Indian, Chinese",12 Noon to 10:30 PM
komatose - holiday inn express & suites,https://www.zomato.com/hyderabad/komatose-holiday-inn-express-suites-gachibowli,"1,500","Happy Hours, Top-Rated, Gold Curated","North Indian, Chinese, Japanese, Sushi",1 PM to 11 PM
aromas@11six,https://www.zomato.com/hyderabad/aromas11six-gachibowli,750,,"North Indian, Chinese, Mughlai, Biryani",11:30 AM to 12 Midnight
yum yum tree - the arabian food court,https://www.zomato.com/hyderabad/yum-yum-tree-the-arabian-food-court-gachibowli,"1,200",Food Hygiene Rated Restaurants in Hyderabad,"North Indian, Hyderabadi",12 Noon to 12 Midnight
the tilt bar republic,https://www.zomato.com/thetiltbarrepublic,"1,500","Gigs and Events, Corporate Favorites","North Indian, Continental, Italian",12noon to 12midnight (Mon-Sun)
the indi grill,https://www.zomato.com/hyderabad/the-indi-grill-gachibowli,"1,500","Food Hygiene Rated Restaurants in Hyderabad, Great Buffets, Hyderabad's Hottest","BBQ, Asian, Modern Indian",12noon to 11pm (Mon-Sun)
urban asia - kitchen & bar,https://www.zomato.com/hyderabad/urban-asia-kitchen-bar-gachibowli,"1,100",,"Asian, Thai, Chinese, Sushi, Momos","12 Noon to 3 PM, 7 PM to 11 PM"
eat india company,https://www.zomato.com/hyderabad/eat-india-company-gachibowli,"1,300",,"North Indian, Mughlai, Beverages","12 Noon to 3 PM, 7 PM to 11 PM"
labonel,https://www.zomato.com/hyderabad/labonel-gachibowli,"1,000",Best Bakeries,"Bakery, Desserts","11 AM to 8 PM (Mon-Sat), Sun Closed"
driven cafe,https://www.zomato.com/hyderabad/driven-cafe-gachibowli,600,,"Cafe, Fast Food, Beverages",4 AM to 12 Midnight
faasos,https://www.zomato.com/hyderabad/faasos-gachibowli,600,,"Fast Food, Biryani, Desserts",9 AM to 1 AM
royal spicy restaurant,https://www.zomato.com/hyderabad/royal-spicy-restaurant-gachibowli,700,,"North Indian, South Indian",10:30 AM to 11 PM
the old madras baking company,https://www.zomato.com/hyderabad/the-old-madras-baking-company-gachibowli,350,,Bakery,7 AM to 11 PM
squeeze @ the lime,https://www.zomato.com/hyderabad/squeeze-the-lime-gachibowli,650,Veggie Friendly,"Italian, North Indian, Chinese, Salad","7 AM to 10:30 AM, 12:30 PM to 3:30 PM, 7 PM to 11 PM"
khaan saab,https://www.zomato.com/hyderabad/khaan-saab-gachibowli,"1,100",New on Gold,"North Indian, Mughlai","12 Noon to 3:30 PM, 7 PM to 11:30 PM"
olive garden,https://www.zomato.com/hyderabad/olive-garden-gachibowli,700,,"North Indian, Chinese, Continental, Biryani","12 Noon to 3:30 PM, 7 PM to 11 PM"
tandoori food works,https://www.zomato.com/hyderabad/tandoori-food-works-gachibowli,500,Brilliant Biryanis,"North Indian, Burger, Kebab","12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)"
delhi-39,https://www.zomato.com/hyderabad/delhi-39-gachibowli,600,,"North Indian, Chinese",11am to 11pm (Mon-Sun)
al saba restaurant,https://www.zomato.com/hyderabad/al-saba-restaurant-gachibowli,750,,"North Indian, Chinese, Seafood, Biryani, Hyderabadi",6 AM to 11:30 PM
gd's,https://www.zomato.com/hyderabad/gds-gachibowli,500,,"Burger, American",11:30 AM to 5 AM
t grill,https://www.zomato.com/hyderabad/t-grill-gachibowli,700,,"North Indian, Andhra, Biryani, Chinese","12:30 PM to 3:30 PM, 7 PM to 11 PM"
momos delight,https://www.zomato.com/hyderabad/momos-delight-gachibowli,200,,Momos,6pm to 2am (Mon-Sun)
the chocolate room,https://www.zomato.com/hyderabad/the-chocolate-room-gachibowli,600,,"Cafe, Desserts",10 AM to 12 Midnight
american wild wings,https://www.zomato.com/hyderabad/american-wild-wings-gachibowli,600,Food Hygiene Rated Restaurants in Hyderabad,"American, Fast Food, Salad, Burger",12 Noon to 4 AM
domino's pizza,https://www.zomato.com/hyderabad/dominos-pizza-4-gachibowli,400,,"Fast Food, Pizza",11 AM to 11 PM
mohammedia shawarma,https://www.zomato.com/hyderabad/mohammedia-shawarma-gachibowli,150,,"Street Food, Arabian",1 PM to 1 AM
arena eleven,https://www.zomato.com/hyderabad/arena-eleven-gachibowli,"1,600",New on Gold,Continental,12 Noon to 12 Midnight
cascade - radisson hyderabad hitec city,https://www.zomato.com/hyderabad/cascade-radisson-hyderabad-hitec-city-gachibowli,"1,800",,"North Indian, Italian, Continental, Asian",24 Hours
collage - hyatt hyderabad gachibowli,https://www.zomato.com/hyderabad/collage-hyatt-hyderabad-gachibowli-gachibowli,"2,800",Sunday Brunches,"Continental, Italian, North Indian, Chinese, Asian",24 Hours (Mon-Sun)
zing's northeast kitchen,https://www.zomato.com/hyderabad/zings-northeast-kitchen-gachibowli,550,,"North Eastern, Momos","11:30 AM to 4 PM, 7 PM to 11 PM"
dunkin' donuts,https://www.zomato.com/hyderabad/dunkin-donuts-gachibowli,550,,"Desserts, Cafe, Beverages, Burger, Fast Food",10 AM to 11 PM
desi bytes,https://www.zomato.com/hyderabad/desi-bytes-gachibowli,400,,"North Indian, Chinese","1 PM to 2 AM (Mon, Wed-Sun), Tue Closed"
hyderabadi daawat,https://www.zomato.com/hyderabad/hyderabadi-daawat-1-gachibowli,600,Food Hygiene Rated Restaurants in Hyderabad,"Hyderabadi, Chinese, Mughlai",12:30pm to 11:30pm (Mon-Sun)
zega - sheraton hyderabad hotel,https://www.zomato.com/hyderabad/zega-sheraton-hyderabad-hotel-gachibowli,"1,750",,"Asian, Sushi",12Noon to 2AM (Mon-Sun)
triptify,https://www.zomato.com/hyderabad/triptify-gachibowli,400,,North Indian,11 AM to 11 PM
chinese pavilion,https://www.zomato.com/hyderabad/chinese-pavilion-gachibowli,"1,000",,"Chinese, Seafood","12 Noon to 3:30 PM, 7 PM to 11 PM"
indiblaze,https://www.zomato.com/hyderabad/indiblaze-gachibowli,600,,"Fast Food, Salad",11 AM to 11 PM
sweet basket,https://www.zomato.com/hyderabad/sweet-basket-gachibowli,200,,"Bakery, Mithai","10 AM to 10 PM (Mon-Thu), 8 AM to 10:30 PM (Fri-Sun)"
angaara counts 3,https://www.zomato.com/hyderabad/angaara-counts-3-gachibowli,500,,"North Indian, Biryani, Chinese",12 Noon to 11 PM
wich please,https://www.zomato.com/hyderabad/wich-please-1-gachibowli,250,,Fast Food,8am to 12:30AM (Mon-Sun)
republic of noodles - lemon tree hotel,https://www.zomato.com/hyderabad/republic-of-noodles-lemon-tree-hotel-gachibowli,"1,700",Pan-Asian Delicacies,"Thai, Asian, Chinese, Malaysian","11:30 AM to 3 PM, 7 PM to 12 Midnight"
